,Марка,YearMonth,Страховая сумма,Количество дней от события до урегулирования,Оценка убытка
0,Жигули,202404,374512.2391397534,43.0,98674
1,Лада Самара,202501,624627.1102577953,13.0,160331
2,Киа,202403,2152280.355384106,17.0,129704
3,Лада Самара,202302,607198.381329094,43.0,145104
4,Лада Самара,202402,623613.5104991611,120.0,147797
5,Жигули,202311,323436.9272841292,14.0,102445
6,Мерседес-Бенц,202406,7746583.457412392,11.0,177918
7,Лада Самара,202406,431008.5342822783,5.0,135721
8,Жигули,202303,470966.0862935977,91.0,127854
9,Мерседес-Бенц,202303,7505879.87035754,8.0,231697
10,Киа,202409,1538261.9698115578,105.0,160941
11,Жигули,202409,635287.3262216905,4.0,106379
12,Лада Самара,202411,560867.4133436187,21.0,135483
13,Лада Самара,202310,387900.58604023396,50.0,126673
14,Киа,202408,2672621.9105648897,25.0,123880
15,Лада Самара,202402,376296.49082437926,15.0,144333
16,Мерседес-Бенц,202309,7326622.624595996,52.0,221856
17,Lada,202303,773621.7796955596,54.0,134953
18,Жигули,202311,447081.8571287621,8.0,142978
19,Lada,202305,866165.9316234693,5.0,117646
20,Lada,202401,1077517.0373327776,14.0,149919
21,Киа,202307,1985021.5429684462,14.0,139977
22,Лада Самара,202304,507426.61354817176,49.0,143197
23,Lada,202301,859466.1116013516,7.0,147561
24,Лада Самара,202309,449087.49780463876,22.0,124161
25,Lada,202412,660513.2292565122,23.0,127684
26,Киа,202310,1952156.4202968276,32.0,157979
27,Lada,202310,1125281.536876538,4.0,120116
28,Жигули,202303,337458.69818607025,25.0,130008
29,Lada,202309,868289.7010389981,50.0,138291
30,Мерседес-Бенц,202408,5480669.906507168,37.0,215341
31,Киа,202401,2226653.206313933,21.0,140735
32,Лада Самара,202307,299371.51279101876,4.0,121407
33,Лада Самара,202407,379693.5313032114,20.0,117111
34,Lada,202410,842322.7503535884,18.0,139414
35,Киа,202308,1352466.6696400756,4.0,130769
36,Лада Самара,202312,690236.7938549346,26.0,131661
37,Мерседес-Бенц,202306,6453711.512794081,12.0,221933
38,Киа,202401,2498482.2835205584,15.0,182281
39,Жигули,202305,446853.7244965033,31.0,126972
40,Лада Самара,202412,455059.11263979843,2.0,131873
41,Mercedes,202304,9124189.888932206,4.0,196259
42,Lada,202501,723343.5332055903,40.0,130347
43,Мерседес-Бенц,202309,3797448.5553812953,14.0,196167
44,Lada,202306,767522.4212187834,2.0,136653
45,Mercedes,202412,7539473.485429323,-100.0,221380
46,Лада Самара,202401,280453.1635625624,37.0,166374
47,Киа,202406,2079596.1295945267,40.0,160494
48,Киа,202501,1748567.5913434015,19.0,162659
49,Киа,202406,2757330.361899608,20.0,159720
50,Киа,202404,2667469.7074104794,15.0,137030
51,Lada,202401,551112.6617821272,17.0,127572
